fixation id,frame,x,y,duration [ms]
1,0,826.055,167.563,150
2,6,611.641,370.053,80
3,10,743.508,336.986,190
4,17,963.856,385.812,145
5,21,910.613,341.267,325
6,34,583.086,428.235,105
7,37,595.326,395.257,155
8,43,615.635,358.522,165
9,51,743.973,334.92,460
10,62,708.091,311.213,270
11,72,761.885,348.014,270
12,81,756.695,303.217,1917
13,128,602.63,374.152,130
14,134,1088.918,526.344,90
15,138,1067.649,724.867,145
16,143,924.785,777.489,130
17,150,1242.857,584.869,125
18,154,1191.988,554.684,120
19,159,1282.017,561.757,95
20,163,1282.063,512.478,220
21,169,1247.899,495.031,440
22,185,616.951,549.725,120
23,189,588.475,241.012,90
24,194,639.86,295.433,275
25,202,964.331,189.026,260
26,210,482.392,248.168,135
27,216,755.126,519.63,320
28,225,734.269,437.269,250
29,236,830.702,186.747,135
30,240,823.078,237.975,155
31,245,703.851,279.61,220
32,251,847.685,234.161,285
33,259,933.987,283.557,195
34,267,879.62,355.762,365
35,277,754.221,200.958,270
36,285,828.445,366.886,285
37,293,783.548,254.818,626
38,309,829.065,392.233,185
39,315,791.782,316.308,215
40,321,910.134,312.813,255
41,328,832.057,475.894,195
42,335,780.611,337.445,150
43,339,737.43,335.196,240
44,346,858.141,359.199,230
45,352,919.711,316.081,180
46,358,847.988,321.899,95
47,363,843.217,442.434,180
48,368,812.97,423.166,105
49,371,899.345,279.895,195
50,377,703.029,316.882,195
51,385,946.618,284.554,330
52,394,815.954,343.856,230
53,401,708.983,312.625,165
54,406,680.707,295.598,175
55,411,960.493,259.122,305
56,419,1033.257,254.967,165
57,424,867.346,367.695,300
58,432,805.274,353.352,380
59,442,807.013,373.121,190
60,450,866.919,318.562,255
61,458,763.883,332.326,190
62,463,678.665,317.246,205
63,469,604.93,403.75,205
64,483,913.049,403.978,195
65,489,647.209,413.715,165
66,494,604.59,467.909,160
67,499,669.842,436.945,195
68,504,659.048,459.243,75
69,508,1133.703,485.317,85
70,512,1155.125,459.99,175
71,518,1025.471,427.843,275
72,526,1060.916,457.247,450
73,543,516.199,408.204,250
74,550,689.142,410.629,110
75,553,624.418,441.996,120
76,560,1012.205,306.801,235
77,568,1107.217,352.291,120
78,572,1120.35,386.045,225
79,581,723.615,270.011,275
80,590,965.476,284.264,250
81,597,781.758,416.356,210
82,603,802.327,371.649,80
83,606,747.16,428.498,90
84,611,1004.973,287.292,150
85,618,760.828,325.54,175
86,623,778.185,345.076,135
87,633,833.171,462.458,75
88,638,781.965,365.56,280
89,645,769.01,348.633,235
90,654,937.713,310.329,280
91,662,914.435,279.8,90
92,666,895.549,228.343,80
93,668,865.824,362.828,330
94,679,877.839,360.376,150
95,686,880.218,434.966,150
96,692,888.326,523.354,175
97,698,866.144,435.916,195
98,704,594.859,384.157,200
99,710,893.138,367.102,155
100,719,866.773,397.648,100
101,722,849.019,480.048,290
102,730,842.262,364.637,711
103,748,797.315,344.985,681
104,768,782.345,374.702,165
105,773,967.034,390.954,210
106,782,758.757,926.408,150
107,786,788.665,952.549,310
108,798,852.354,259.936,185
109,803,792.168,236.369,561
110,819,775.316,834.945,190
111,825,704.221,850.094,470
112,838,790.615,511.858,205
113,844,707.423,846.232,245
114,853,881.102,289.383,155
115,858,806.833,280.277,250
116,866,787.341,352.958,435
117,878,899.015,290.518,245
118,885,772.232,309.522,616
119,901,733.466,306.82,586
120,916,836.692,315.578,230
121,923,962.441,311.293,340
122,932,834.358,290.812,425
123,945,781.762,336.824,205
124,951,737.95,298.636,80
125,954,986.804,317.574,205
126,960,1059.937,292.78,160
127,964,1017.951,260.902,215
128,971,815.93,313.057,180
129,979,828.749,308.763,180
130,984,847.286,383.588,140
131,988,836.214,250.224,320
132,998,778.453,252.683,300
133,1007,882.088,260.644,90
134,1009,885.547,282.237,190
135,1015,851.59,266.309,105
136,1018,906.853,282.264,160
137,1023,892.654,277.205,115
138,1026,998.939,219.022,190
139,1031,1004.301,232.335,220
140,1038,836.102,333.375,605
141,1055,854.978,249.388,510
142,1069,909.268,257.437,210
143,1075,875.936,406.648,320
144,1084,833.753,322.436,185
145,1089,848.831,449.988,295
146,1098,831.154,304.081,115
147,1101,810.249,254.324,180
148,1107,891.994,294.6,100
149,1110,708.03,322.79,110
150,1114,739.568,353.517,380
151,1124,571.586,329.344,205
152,1131,916.532,298.841,235
153,1137,802.162,316.531,400
154,1148,703.791,321.443,415
155,1159,738.328,309.827,195
156,1167,940.452,297.457,80
157,1170,990.905,225.251,360
158,1180,899.822,224.807,175
159,1188,932.608,300.162,165
160,1193,951.323,214.39,255
161,1200,894.073,268.367,140
162,1206,949.262,327.245,200
163,1212,790.726,292.544,265
164,1219,780.79,269.938,315
165,1228,851.795,277.709,225
166,1234,740.781,309.978,100
167,1237,774.202,308.777,150
168,1242,868.212,352.32,165
169,1248,1106.761,311.307,170
170,1253,1080.065,309.569,250
171,1261,703.624,508.324,120
172,1268,805.294,846.974,390
173,1281,809.986,310.134,235
174,1287,800.387,296.669,110
175,1292,630.298,245.879,175
176,1297,623.809,257.605,210
177,1303,668.72,337.352,215
178,1310,891.377,291.53,405
179,1321,964.616,230.766,265
180,1331,1013.11,178.478,115
181,1334,986.456,180.336,280
182,1343,677.959,263.677,265
183,1350,592.21,265.57,85
184,1352,580.929,262.415,115
185,1356,630.849,240.925,295
186,1364,751.038,313.32,315
187,1372,790.361,312.544,290
188,1383,768.334,326.199,135
189,1387,858.935,323.807,485
190,1399,832.515,342.927,440
191,1410,784.269,414.476,150
192,1416,1055.267,294.108,270
193,1425,999.811,307.13,225
194,1431,948.795,356.627,140
195,1436,1160.05,320.928,125
196,1439,1149.929,362.67,155
197,1444,1023.108,326.75,230
198,1451,673.79,300.272,125
199,1455,766.395,314.794,220
200,1461,779.456,291.104,260
201,1469,682.765,305.61,215
202,1477,826.463,324.884,110
203,1481,819.894,247.558,150
204,1486,597.024,233.333,85
205,1489,696.764,218.076,150
206,1495,946.186,250.562,105
207,1500,845.94,279.676,500
208,1513,757.111,265.254,215
209,1519,823.434,293.339,731
210,1537,771.359,257.495,365
211,1547,711.424,286.267,425
212,1558,838.152,320.959,260
213,1565,823.231,301.873,245
214,1572,812.979,338.95,150
215,1576,807.396,352.355,150
216,1580,884.907,273.234,90
217,1583,984.813,297.462,180
218,1589,823.036,268.743,195
219,1594,838.418,268.603,220
220,1600,771.789,249.162,260
221,1609,826.511,276.58,150
222,1614,794.06,238.64,585
223,1628,818.376,317.673,215
224,1637,890.092,251.975,175
225,1642,960.957,267.887,175
226,1647,763.838,245.722,591
227,1663,831.012,352.663,260
228,1671,726.079,274.388,180
229,1676,672.647,274.485,385
230,1686,809.966,303.192,200
231,1692,825.083,361.344,120
232,1696,626.363,281.182,590
233,1712,825.86,410.987,165
234,1717,845.085,458.901,110
235,1721,879.178,250.556,170
236,1726,898.018,256.578,175
237,1732,570.963,299.953,150
238,1737,565.828,319.5,145
239,1742,939.46,270.023,195
240,1747,896.43,283.576,235
241,1754,770.511,297.575,225
242,1760,800.251,299.734,190
243,1766,854.648,269.262,155
244,1773,773.72,289.503,90
245,1779,868.015,261.43,135
246,1783,865.526,235.572,185
247,1788,880.314,213.778,80
248,1791,866.829,242.51,135
249,1796,868.202,257.469,265
250,1802,827.248,311.771,280
251,1811,685.24,238.128,260
252,1820,647.472,307.03,165
253,1827,923.047,297.354,245
254,1835,726.437,291.392,130
255,1848,760.687,231.268,85
256,1857,840.849,270.625,80
257,1860,856.783,245.648,115
258,1867,805.49,299.812,95
259,1874,752.31,308.17,125
260,1889,615.441,344.131,245
261,1896,594.437,352.813,160
262,1904,492.373,373.628,340
263,1916,1016.5,320.616,195
264,1926,840.251,359.836,90
265,1933,528.599,350.405,110
266,1942,963.093,322.19,205
267,1949,957.3,243.252,200
268,1955,695.824,294.847,165
269,1961,661.092,319.608,255
270,1968,791.422,334.422,210
271,1977,775.302,314.707,110
272,1981,731.585,300.256,80
273,1984,885.163,315.284,190
274,2004,577.277,303.833,225
275,2011,942.322,256.132,150
276,2021,830.104,472.433,145
277,2026,925.961,267.764,190
278,2031,938.779,232.235,210
279,2037,982.314,255.859,190
280,2043,1065.085,238.372,225
281,2049,1005.84,281.676,165
282,2054,1020.933,234.117,185
283,2062,1127.214,346.789,85
284,2069,645.207,341.764,125
285,2075,732.089,304.089,95
286,2092,765.143,309.049,105
287,2102,668.46,272.879,110
288,2109,643.443,200.902,150
289,2117,1216.089,319.671,75
290,2168,999.849,355.286,130
291,2179,946.43,239.719,90
292,2183,782.643,318.207,95
293,2189,952.062,219.206,95
294,2196,418.25,387.059,105
295,2199,604.265,406.061,225
296,2206,530.026,328.353,120
297,2209,627.481,288.426,105
298,2214,536.202,254.269,165
299,2219,777.321,287.495,220
300,2226,864.227,258.541,185
301,2231,878.202,313.495,260
302,2238,871.591,333.492,125
303,2242,880.142,324.766,165
304,2246,867.954,329.583,355
305,2256,972.902,270.3,75
306,2258,957.544,327.997,310
307,2270,708.11,336.643,115
308,2274,608.698,345.92,85
309,2277,625.745,335.499,90
310,2279,624.604,326.889,85
311,2282,676.331,327.445,105
312,2287,1105.749,336.531,95
313,2291,1000.529,317.601,135
314,2296,1084.552,314.601,260
315,2303,1139.742,274.351,130
316,2316,1053.809,285.674,110
317,2322,804.51,273.59,230
318,2328,759.8,280.208,370
319,2338,793.505,300.621,215
320,2344,1023.343,276.447,305
321,2352,1076.873,282.649,265
322,2362,903.998,362.021,380
323,2372,738.173,299.477,140
324,2385,972.332,254.143,425
325,2397,683.453,287.517,240
326,2404,646.378,289.893,425
327,2415,842.8,330.423,190
328,2425,862.553,323.909,105
329,2429,993.976,258.717,105
330,2432,932.269,301.717,100
331,2435,919.555,254.297,370
332,2447,936.884,268.355,110
333,2450,935.373,249.477,120
334,2454,882.15,322.395,130
335,2476,888.507,371.213,345
336,2492,901.793,391.021,305
337,2500,855.945,385.77,85
338,2506,818.122,218.725,155
339,2516,663.231,283.008,155
340,2520,697.233,256.495,205
341,2526,663.539,351.42,190
342,2531,761.756,323.71,245
343,2538,900.293,303.413,190
344,2544,736.671,281.25,465
345,2557,887.847,313.495,155
346,2562,723.599,300.543,235
347,2582,493.923,620.574,130
348,2594,546.132,635.812,75
349,2613,367.539,346.282,135
350,2618,506.842,351.455,100
351,2624,431.095,407.002,145
352,2629,424.846,367.484,130
353,2636,363.893,334.08,75
354,2640,339.471,425.631,360
355,2655,908.339,150.814,90
356,2664,809.897,220.286,150
357,2669,827.75,235.031,75
358,2675,924.435,319.12,85
359,2687,1197.612,389.957,130
360,2693,1147.383,349.953,581
361,2708,1213.686,299.189,95
362,2714,937.316,562.763,180
363,2719,916.753,483.396,415
364,2733,947.96,355.077,330
365,2742,873.862,345.686,125
366,2748,477.55,330.039,240
367,2754,595.435,307.66,80
368,2757,590.872,302.986,155
369,2770,651.716,250.445,200
370,2776,687.539,202.303,120
371,2781,749.359,242.723,100
372,2784,749.973,242.454,105
373,2795,688.818,303.629,75
374,2798,777.54,297.448,105
375,2805,742.357,334.901,330
376,2814,953.275,338.243,100
377,2819,1142.133,349.654,225
378,2825,1069.629,291.575,255
379,2833,940.605,338.625,250
380,2842,523.373,301.344,320
381,2850,637.769,245.665,916
382,2873,623.273,244.765,350
383,2882,776.579,285.063,340
384,2891,871.564,325.912,190
385,2902,1009.44,330.278,400
386,2912,924.187,376.768,245
387,2919,841.368,370.407,150
388,2924,974.351,355.671,766
389,2943,867.037,363.68,466
390,2956,951.516,339.536,711
391,2973,888.318,331.645,1281
392,3005,1024.348,305.877,2067
393,3056,865.602,361.201,1577
394,3095,1006.339,321.716,300
395,3103,993.245,297.074,621
396,3119,970.374,341.586,1902
397,3169,981.98,329.924,571
398,3186,543.993,335.103,80
399,3193,542.935,399.286,90
400,3196,599.664,399.768,255
401,3206,571.828,279.653,120
402,3213,1154.394,355.281,110
403,3216,1029.585,365.688,140
404,3227,584.823,301.743,165
405,3238,779.681,318.796,140
406,3242,690.941,298.799,200
407,3248,657.206,266.228,145
408,3252,662.262,241.884,390
409,3267,1093.367,380.473,90
410,3271,1050.234,311.793,115
411,3281,1065.243,279.919,100
412,3288,1145.267,305.69,110
413,3307,1036.742,290.689,345
414,3316,1072.931,443.459,180
415,3338,363.376,547.595,85
416,3341,390.146,506.635,80
417,3348,748.103,469.2,245
418,3355,820.595,473.02,220
419,3364,988.889,422.328,115
420,3370,1378.402,409.778,125
421,3374,1278.353,421.409,115
422,3377,1225.746,429.928,240
423,3385,874.355,520.208,140
424,3389,705.577,549.648,235
425,3397,1215.828,472.576,95
426,3404,1217.866,400.979,415
427,3419,1032.713,399.66,205
428,3425,865.996,432.686,200
429,3431,900.034,420.648,155
430,3436,1045.044,410.711,345
431,3446,1241.639,427.998,190
432,3452,1257.398,420.702,90
433,3471,570.229,407.264,135
434,3479,423.135,562.991,240
435,3507,1197.38,285.609,155
436,3524,485.791,453.063,110
437,3528,418.913,471.154,115
438,3532,488.735,422.394,140
439,3538,991.508,394.036,150
440,3555,393.958,351.739,285
441,3564,797.834,284.529,230
