frame,x,y
0,927.291,174.569
0,753.821,127.811
0,714.581,117.652
0,939.014,195.397
0,865.02,125.265
0,905.821,67.473
0,940.905,73.765
0,941.785,14.679
0,878.964,3.559
1,935.449,29.942
1,950.022,17.692
1,942.701,15.693
1,926.66,4.165
1,894.806,-12.587
1,898.377,-9.0
1,891.788,-14.024
1,885.519,14.472
2,893.772,18.947
2,890.913,19.199
2,884.836,29.719
2,874.789,32.467
2,875.867,39.557
2,876.14,40.747
2,866.134,74.171
2,860.159,64.694
3,859.459,64.494
3,860.644,65.8
3,859.698,69.561
3,849.084,90.418
3,847.309,90.577
3,832.738,110.012
3,838.24,109.684
3,843.86,129.662
3,830.486,144.083
4,827.273,152.214
4,825.908,156.772
4,822.436,162.841
4,822.272,167.934
4,823.156,169.892
4,824.092,170.601
4,824.72,174.528
4,827.98,179.449
5,827.197,189.101
5,821.549,198.315
5,819.97,205.871
5,813.625,211.264
5,812.655,207.702
5,809.794,213.483
5,810.951,215.908
5,806.711,227.944
6,807.687,225.778
6,806.926,238.977
6,808.577,242.329
6,801.686,245.214
6,802.316,256.037
6,792.022,262.465
6,800.366,264.345
6,825.751,251.662
6,836.496,240.009
7,851.672,222.717
7,851.079,221.205
7,855.633,225.047
7,852.213,239.367
7,851.498,237.853
7,848.397,250.748
7,846.204,263.12
7,844.156,263.398
8,844.742,263.77
8,817.611,261.287
8,807.279,266.52
8,763.003,283.0
8,712.394,316.682
8,660.136,305.899
8,651.451,327.693
8,603.918,333.313
9,603.945,344.083
9,602.408,331.68
9,602.596,358.654
9,605.14,359.872
9,610.057,365.512
9,610.716,364.48
9,609.557,364.935
9,610.413,368.626
9,609.421,371.364
10,616.855,369.771
10,615.646,380.12
10,620.442,383.172
10,620.618,390.346
10,620.152,399.636
10,617.452,400.176
10,609.664,418.896
11,619.344,437.255
11,633.394,433.68
11,611.625,445.573
11,521.525,421.28
11,439.6,509.495
11,488.848,494.458
11,605.138,540.019
11,680.326,488.566
12,559.233,552.287
12,609.082,508.592
12,595.994,453.532
12,505.865,538.569
12,522.046,508.462
12,682.78,444.226
12,777.125,377.881
12,771.125,368.758
12,772.208,378.822
13,779.888,371.575
13,776.292,318.526
13,771.483,315.372
13,768.92,319.946
13,769.021,329.762
13,766.829,334.876
13,750.081,341.504
13,749.762,344.558
14,747.3,348.365
14,751.433,347.102
14,748.172,346.972
14,755.769,334.751
14,753.448,349.288
14,753.526,349.78
14,753.681,350.891
14,749.951,351.094
15,746.145,350.822
15,748.058,342.518
15,745.356,336.172
15,744.709,335.002
15,747.814,328.373
15,749.329,328.183
15,748.898,330.165
15,749.903,332.527
15,749.865,332.478
16,746.32,329.397
16,741.37,328.864
16,741.327,329.238
16,738.802,332.231
16,736.754,335.605
16,738.56,334.039
16,737.321,334.234
16,736.555,333.44
17,734.808,335.797
17,739.287,340.149
17,728.646,334.704
17,730.096,333.38
17,731.813,330.917
17,737.501,329.809
17,739.489,329.902
17,737.634,332.666
18,737.506,336.135
18,737.906,331.801
18,738.769,333.463
18,741.118,335.56
18,746.29,321.037
18,754.185,326.848
18,772.585,334.41
18,823.749,349.093
18,866.572,362.549
19,889.905,373.476
19,951.855,374.282
19,986.454,391.446
19,997.593,402.543
19,1017.228,403.667
19,1003.279,391.371
19,997.499,395.549
19,989.809,399.786
20,983.368,396.925
20,981.867,396.136
20,980.132,394.233
20,978.731,395.093
20,980.461,395.097
20,978.753,393.158
20,978.178,392.403
20,972.648,384.797
21,973.562,384.028
21,973.065,385.629
21,969.778,383.003
21,970.482,383.67
21,962.604,383.518
21,963.83,380.705
21,962.534,382.264
21,963.834,380.945
21,961.136,374.807
22,961.489,375.125
22,960.857,374.553
22,950.471,385.427
22,951.577,385.219
22,955.168,383.923
22,952.587,385.962
22,950.591,386.293
22,949.963,383.729
23,954.572,396.531
23,955.411,391.913
23,956.136,390.012
23,950.44,380.899
23,950.374,379.907
23,951.872,376.27
23,949.771,373.711
23,949.033,374.409
24,946.235,372.494
24,919.943,337.206
24,899.689,330.615
24,904.085,328.447
24,906.068,330.438
24,912.665,328.22
24,913.639,328.086
24,915.252,327.518
24,910.259,324.578
25,911.781,326.508
25,911.535,323.042
25,918.862,326.277
25,918.573,327.022
25,917.781,326.882
25,915.916,326.414
25,910.666,323.008
25,910.241,338.879
26,908.491,339.339
26,911.117,335.682
26,913.078,331.372
26,914.296,332.427
26,918.59,336.317
26,918.227,331.802
26,919.615,332.416
26,918.888,334.189
27,918.162,334.759
27,917.945,337.132
27,912.041,339.479
27,910.703,333.519
27,912.216,333.312
27,915.018,332.608
27,910.385,335.087
27,912.567,332.705
27,912.651,336.129
28,910.157,340.875
28,911.126,345.332
28,912.456,341.252
28,912.825,341.95
28,911.476,342.236
28,907.725,343.481
28,906.348,347.707
28,906.871,343.083
29,908.466,341.764
29,908.084,341.77
29,909.467,339.199
29,909.573,340.51
29,907.41,341.174
29,908.679,341.242
29,908.373,355.848
29,909.013,352.044
30,916.901,350.911
30,915.587,353.475
30,911.863,353.516
30,910.946,350.615
30,912.119,350.078
30,911.209,351.593
30,907.864,350.144
30,910.205,349.992
30,908.319,348.367
31,903.435,362.81
31,900.173,359.752
31,901.482,359.789
31,903.573,353.249
31,903.265,356.945
31,903.915,358.981
31,901.616,358.115
31,901.127,357.758
32,901.476,358.744
32,898.415,355.648
32,899.386,353.614
32,902.864,355.491
32,908.963,351.923
32,914.878,362.108
32,916.157,367.788
32,909.043,375.025
33,855.995,401.432
33,817.321,396.765
33,797.463,415.263
33,782.991,364.35
33,765.698,413.133
33,733.185,415.166
33,685.944,412.812
33,656.973,460.481
33,636.703,389.136
34,636.852,453.301
34,636.395,462.752
34,582.82,475.691
34,575.436,488.371
34,560.712,456.442
34,568.523,466.573
34,542.55,463.299
34,551.267,478.453
35,562.298,482.491
35,560.857,482.237
35,575.373,475.801
35,556.125,460.865
35,556.675,465.661
35,559.894,468.719
35,568.357,480.421
35,576.91,468.122
36,576.632,465.841
36,577.046,461.62
36,580.669,457.755
36,575.537,463.668
36,565.867,475.884
36,563.289,473.009
36,575.166,440.424
36,579.801,437.648
36,581.009,437.343
37,576.778,414.515
37,578.538,418.882
37,580.601,415.027
37,580.773,417.406
37,580.139,418.594
37,575.98,450.319
37,578.091,444.015
37,579.571,436.511
38,576.757,435.394
38,577.586,438.439
38,580.426,433.828
38,580.155,437.867
38,582.3,439.359
38,581.648,442.692
38,585.875,412.749
38,584.656,417.623
39,589.004,419.115
39,591.949,424.115
39,593.209,427.518
39,597.476,420.801
39,593.652,428.624
39,593.754,430.956
39,586.062,425.338
39,589.237,415.863
39,589.635,411.63
40,588.144,383.6
40,589.74,391.672
40,585.8,392.05
40,578.348,408.749
40,580.51,405.356
40,582.41,405.575
40,586.195,404.616
40,590.073,404.583
41,591.716,400.48
41,590.12,400.72
41,589.776,392.053
41,583.449,400.435
41,596.434,399.768
41,596.697,392.85
41,595.273,398.857
41,600.175,406.838
42,600.997,394.498
42,601.458,392.259
42,601.494,385.953
42,596.196,388.959
42,601.597,388.66
42,603.424,393.082
42,603.056,393.504
42,607.58,387.984
42,606.217,391.222
43,605.598,393.733
43,604.12,391.771
43,603.585,391.196
43,600.655,387.666
43,597.027,392.739
43,597.701,391.832
43,598.453,390.407
43,591.181,394.425
44,596.017,395.306
44,596.345,407.903
44,580.933,438.406
44,591.25,434.596
44,600.819,470.283
44,622.742,433.432
44,513.773,407.707
44,596.171,392.997
45,444.24,490.141
45,405.146,546.048
45,376.908,512.22
45,438.324,583.493
45,468.991,539.729
45,466.724,486.248
45,429.758,402.571
45,563.653,387.72
46,577.726,404.347
46,613.023,368.214
46,608.593,398.347
46,609.809,390.421
46,595.732,379.506
46,599.846,383.116
46,598.667,381.5
46,598.327,381.326
46,599.761,398.037
47,601.163,389.735
47,600.062,385.884
47,601.077,385.773
47,611.827,379.162
47,608.844,372.809
47,607.303,374.932
47,606.769,389.602
47,611.957,358.057
48,613.47,356.854
48,619.103,346.44
48,620.908,350.503
48,618.033,352.439
48,621.456,350.714
48,613.087,348.292
48,616.034,343.244
48,611.083,354.008
49,616.693,350.814
49,618.137,349.886
49,618.739,350.823
49,620.085,349.035
49,629.354,336.747
49,628.86,336.23
49,630.642,334.522
49,630.957,336.03
49,633.146,327.537
50,634.27,327.736
50,636.185,340.383
50,645.083,332.699
50,645.63,326.881
50,652.879,328.247
50,645.093,350.084
50,646.726,350.265
50,634.423,385.623
51,636.719,373.752
51,626.988,392.072
51,644.326,409.724
51,552.817,417.438
51,610.097,452.668
51,653.262,502.561
51,628.729,496.796
51,530.653,559.609
52,688.599,464.152
52,600.93,565.361
52,649.983,574.514
52,841.572,539.479
52,749.087,499.836
52,795.954,523.872
52,658.847,513.977
52,664.003,548.717
52,640.008,547.047
53,848.453,516.416
53,551.438,531.887
53,611.883,529.03
53,656.726,468.223
53,728.491,353.009
53,720.527,358.45
53,726.738,363.171
53,736.219,356.678
54,717.822,375.914
54,721.895,389.238
54,718.052,393.108
54,720.589,369.48
54,734.184,365.996
54,730.741,366.873
54,726.163,387.396
54,720.831,373.333
55,729.871,382.938
55,735.115,381.985
55,731.756,374.127
55,729.477,372.69
55,745.458,355.538
55,745.801,369.321
55,749.549,360.094
55,737.764,362.082
55,736.339,363.584
56,736.514,359.972
56,735.844,363.599
56,738.774,370.863
56,730.308,348.319
56,734.319,359.78
56,735.718,358.627
56,736.942,359.772
56,738.35,360.264
57,737.538,359.854
57,738.774,360.665
57,741.046,359.927
57,742.27,358.428
57,742.423,359.561
57,746.425,355.881
57,745.496,360.937
57,735.708,344.895
58,752.097,353.99
58,737.33,347.407
58,738.673,351.967
